"　　中国证券网讯（记者 骆民） 欧浦智网8月1日晚间披露2017半年报。公司2017年上半年实现营业收入2,739,527,252.59元，同比增长109.41%；实现归属于上市公司股东的净利润236,409,800.39元，同比增长116.00%；基本每股收益0.22元/股。",媒体新闻,8108129939344608480_0_588887,欧浦智网上半年净利润同比增长116%,电科院,1
"迈克生物股份有限公司
关于召开2017年第二次临时股东大会的通知
本公司及董事会全体成员保证公告内容的真实、准确和完整，没有虚假记载、误导性
陈述或者重大遗漏。
经迈克生物股份有限公司（下称“本公司”或“公司”）第三届董事会第十二次会议审议通
过，公司定于 2017 年 8 月 15 日（星期二）14:00 在成都高新区安和二路 8号公司会议室召
开 2017 年第二次临时股东大会。现将有关事项通知如下：
一、本次会议的基本情况
1、股东大会届次：2017年第二次临时股东大会
2、会议召集人：公司董事会
3、会议召开的合规性：本次股东大会的召开符合有关法律、行政法规、部门规章、规范性文
件和《公司章程》的有关规定，公司第三届董事会第十二次会议已经审议通过召开本次股东大会
的议案。
4、会议召开的日期、时间:
（1）现场会议召开时间为：2017 年8月15日（星期二）14:00
（2）网络投票时间为：2017年8月14日-2017年8月15日，其中，通过深圳证券交易所
系统进行网络投票的具体时间为：2017年8月15日上午9:30-11:30，下午13:00-15:00；通过
深圳证券交易所互联网投票系统投票的具体时间为：2017年8月14日下午15:00至2017年8月
15日下午15:00 期间。
5、 会议召开方式：现场投票、网络投票相结合的方式召开。
（1）现场投票：股东本人出席现场会议或通过授权委托书（见附件2）委托他人出席现场
会议；
（2）网络投票：本次股东大会将通过深圳证券交易所系统和互联网投票系统向公司股东提
供网络形式的投票平台，公司股东可以在上述网络投票时间内通过上述系统行使表决权。
 
公司股东只能选择现场投票和网络投票中的一种表决方式，表决结果以第一次有效投票结果
为准。
6、股权登记日：2017 年8月8日（星期二）
7、出席对象：
（1）截止2017年8月8日下午深圳证券交易所收市时，在中国证券登记结算有限公司深圳
分公司登记在册的本公司全体股东，上述本公司全体股东均有权出席本次股东大会，并可以
以书面形式委托代理人出席和参加表决，该股东代理人不必是本公司股东。
（2）本公司董事、监事和高级管理人员。
（3）本公司聘请的律师及其他相关人员。
8、现场会议召开地点：成都高新区安和二路8号迈克生物股份有限公司会议室。
二、会议审议事项
本次会议共审议3项议案：
提案1：关于修改公司章程的议案；
提案2：关于公司向兴业银行股份有限公司成都分行申请新增综合授信额度的议案；
提案3：关于公司向交通银行股份有限公司成都蜀汉支行申请综合授信额度的议案；
上述议案均已经公司第三届董事会第十一次会议及公司第三届监事会第八次会议审议通过，
议案内容详见刊登在中国证监会创业板指定信息披露网站的有关公告。
三、提案编码
提案编码
提案名称
备注
该列打勾的栏目
可以投票
100
总议案
√
1.00
提案1：《关于修改公司章程的议案》
√
2.00
提案2：《关于公司向兴业银行股份有限公司成都分行申请新增
综合授信额度的议案》
√
 
3.00
提案3：《关于公司向交通银行股份有限公司成都蜀汉支行申请
综合授信额度的议案》
√
四、现场会议登记方法
1、登记时间：2017 年8月11日，上午9:30-下午17:00.
2、登记方式：现场登记、通过信函或传真方式登记。
3、登记手续：
（1）法人股东登记。法人股东的法定代表人须持有股东账户卡、加盖公司公章的营业执照
复印件、法人代表证明书和本人身份证办理登记手续；委托代理人出席的，还必须持有法人授权
委托书和出席人身份证。
（2）个人股东登记。个人股东须持本人身份证、持股凭证、证券账户卡办理登记手续；委
托代理人出席的，还须持有出席人身份证和授权委托书。
4、登记地点及联系方式：
地址：成都高新区安和二路8号
邮政编码：611731
联系人：史炜 王婷
电话：028- 81731888
传真：028- 81731188
邮箱：zqb@maccura.com
5、其他事项：异地股东可采用信函或传真的方式登记（登记时间以收到传真或信函时间为
准）。传真登记的，请在发送传真后电话确认。
五、参加网络投票的具体操作流程
在本次股东大会上，公司将向股东提供网络投票平台，股东可以通过深圳证券交易所系统投
票和互联网投票（ http://wltp.cninfo.com.cn），网络投票的操作流程详见附件3。
六、其他事项
1、本次会议会期半天，与会股东食宿、交通费自理。
2、会务联系方式：
地址：成都高新区安和二路8号
 
联系人：史炜 王婷
电话：028- 81731888
传真：028- 81731188
邮箱：zqb@maccura.com
3、单独或者合计持有公司3%以上股份的股东，可以将临时提案于会议召开十天前书面提交
给公司董事会。
七、备查文件
1、公司第三届董事会第十一次会议决议；
2、公司第三届监事会第八次会议决议；
3、深交所要求的其他文件。
附件：
1、《2017年第二次临时股东大会股东参会登记表》
2、《股东大会授权委托书样式》
3、《网络投票的操作流程》
迈克生物股份有限公司
董事会
2017年7月31日
 
附件1
迈克生物股份有限公司
2017年第二次临时股东大会股东参会登记表
姓名（名称）
身份证或营业执照号码
股东账户卡号
持股数量
联系电话
电子邮箱
联系地址
邮编
是否本人参加
备注
 
附件2
迈克生物股份有限公司
2017年第二次临时股东大会授权委托书
兹全权委托 先生/女士代表本人/本公司出席迈克生物股份有限公司2017年
第二次临时股东大会，对会议审议的各项议案按本授权委托书的指示行使投票权，并代为签署本
次会议需要签署的相关文件。
本人/本公司对本次股东大会议案的表决意见如下：
提案
编码
提案名称
备注
同意
反对
弃权
该列打勾的栏
目可以投票
1.00
提案1：《关于修改公司章程的议案》
√
2.00
提案2：《关于公司向兴业银行股份有限公司成都分行申
请新增综合授信额度的议案》
√
3.00
提案3：《关于公司向交通银行股份有限公司成都蜀汉支
行申请综合授信额度的议案》
√
（说明：对于每一议案均设“同意”、“反对”、“弃权”三个选项，投票时请在表决意见对应栏中
打“√”，对于同一议案，只能在一处打“√”，多选或漏选视为弃权。）
委托人签字
委托人身份证号码或营业执照号码
委托人持股数
委托人股东账号
受托人签字
受托人身份证号码
委托日期
年 月 日
委托期限
自签署日至本次股东大会结束
（注：1、委托人为单位时需加盖单位公章并由法定代表人签署，委托人为自然人时由委托人签字；
2、授权范围应分别对列入股东大会议程的每一审议事项投同意、反对或弃权票进行指示。）
 
附件3
网络投票的操作流程
本次股东大会公司将通过深圳证券交易所系统和互联网投票系统向公司全体股东提供网络形
式的投票平台，股东可以通过深交所交易系统和互联网投票系统（地址：
http://wltp.cninfo.com.cn ）参加投票，网络投票程序如下：
一、网络投票的程序
1、投票代码：365463
2、投票简称：迈克投票
3、填报表决意见或选举票数 对于上述非累积投票议案，填报表决意见，同意、反对、弃权。
4、股东对总议案进行投票，视为对除累积投票议案外的其他所有议案表达相同意见。在股
东对同一议案出现总议案与分议案重复投票时，以第一次有效投票为准。如股东先对分议案投票
表决，再对总议案投票表决，则以已投票表决的分议案的表决意见为准，其他未表决的议案以总
议案的表决意见为准；如先对总议案投票表决，再对分议案投票表决，则以总议案的表决意见为
准。
二、通过深交所交易系统投票的程序
1、投票时间：2017 年8月15日上午9:30-11:30，下午13:00-15:00
2、股东可以登录证券公司交易客户端通过交易系统投票。
三、通过深交所互联网投票系统投票的程序
1、互联网投票系统开始投票的时间为：2017 年8月14日下午15：00 至 2017 年8月15
日下午15：00。
2、股东通过互联网投票系统进行网络投票，需按照《深圳证券交易所投资者网络服务身份
认证业务指引（2016 年修订）》的规定办理身份认证，取得“深交所数字证书”或“深交
所投资者服务密码”。具体的身份认证流程可登录互联 网投票系统
http://wltp.cninfo.com.cn 规则指引栏目查阅。股东根据获取的服务密码或数字证书，
可登录 http://wltp.cninfo.com.cn 在规定时间内通过深交所互联网投票系统进行投票。",媒体新闻,5859512368142141811_0_588940,[股东会]迈克生物:关于召开2017年第二次临时股东大会的通知,电科院,1
"　□本报记者 刘杨
　
　电科院7月12日晚间披露半年度业绩预告，预计2017年上半年盈利4872.55万元-5299.45万元，比上年同期上升231%-260%。
　对于业绩大幅增长的主要原因，公司表示，收入增加带来的利润增长大于成本增加；同时由于陆续归还借款，财务费用较上年同期有所减少。预计本报告期非经常性损益对净利润的影响金额为200万元-400万元。
　公告显示，2017年为公司高新技术企业资格复审年。公司2017年企业所得税暂按25%预交。待今年公司高新技术企业资格复审获得通过，则2017年继续享受高新技术企业的税收优惠政策，按15%的税率缴纳企业所得税。公司于2011年被认定为高新技术企业。2014年通过高新技术企业资格复审，公司自2014年至2016年连续三年享受国家关于高新技术企业的税收优惠政策，按15%的税率缴纳企业所得税。",媒体新闻,12921152683516020601_0_627,"电科院
上半年业绩预增逾两倍",电科院,1
"　　中证网讯（记者 刘杨）电科院(行情300215,诊股)12日晚间披露半年度业绩预告。公司预计2017年上半年盈利4872.55万元-5299.45万元，比上年同期上升231%-260%。
　　公司表示，2017 年上半年度公司业绩较去年同期实现了大幅增长，主要因为公司营业收入较去年同期有较大增长，收入增加带来的利润增长大于成本增加对利润的影响；同时由于陆续归还借款，财务费用较上年同期有所减少。同时，公司预计本报告期非经常性损益对净利润的影响金额为200 万元～400 万元之 间，对公司业绩有一定影响。
　　值得一提的是，2017年为公司高新技术企业资格复审年。公司2017年企业所得税暂按25%预交。待今年公司高新技术企业资格复审获得通过，则2017年公司还将继续享受高新技术企业的税收优惠政策，按15%的税率缴纳企业所得税。公司于2011年被认定为高新技术企业。2014年通过高新技术企业资格复审，公司自2014年至2016年连续三年享受国家关于高新技术企业的税收优惠政策，按15%的税率缴纳企业所得税。
　　分析指出，公司正在进行第四次转型升级，即军民融合，并取得了快速发展。现已成为后勤军工产品检测试验机构，国防实验室，二级保密单位。预计2017年将有较好的发展趋势，和去年比收入将有一定程度的增长。在传统的输变电领域，公司承接了来自国家电网、南方电网，全国各电力公司的抽样检测任务。
　　目前在做的江苏省电力公司的500kV串联变压器的试验，全国只有电科院一家具备相应检验能力和条件；并且承接国家的任务，在国际上的影响也会比较大。现在国家比较关心的交流电改直流电，对公司来说也是一个福音。另外从2007年至今，电科院发展新能源业务，经过八九年的逐步沉淀，已具备蓄电池、充电桩、核电等检验能力。",媒体新闻,4885040741479634305_0_54757,电科院：上半年业绩预增231%-260%,电科院,1
"　　中证网讯电科院(行情300215,诊股)7月12日晚间发布2017 年半年度业绩预告，2017 年 1 月 1 日―2017 年 6 月 30 日期间，公司实现归属于上市公司股东的净利润4872.55 万元～5299.45 万元，预计比上年同期上升：231%～260%。
　　公司称， 业绩变动主要因为公司营业收入较去年同期有较大增长，收入增加带来的利润增长大于成本增加对利润的影响；同时由于陆续归还借款，财务费用较上年同期有所减少；预计本报告期非经常性损益对净利润的影响金额为 200 万元～400 万元之间，对公司业绩有一定影响。",媒体新闻,5515149142551054406_0_491374,电科院2017年上半年业绩预增231%～260%,电科院,1
"<IMAGE SRC=""http://hqpick.eastmoney.com/k/3002152.png"" >
　　电科院(300215)12日晚间披露半年度业绩预告。公司预计2017年上半年盈利4872.55万元-5299.45万元，比上年同期上升231%-260%。
　　公司表示，2017 年上半年度公司业绩较去年同期实现了大幅增长，主要因为公司营业收入较去年同期有较大增长，收入增加带来的利润增长大于成本增加对利润的影响；同时由于陆续归还借款，财务费用较上年同期有所减少。同时，公司预计本报告期非经常性损益对净利润的影响金额为200 万元~400 万元之间，对公司业绩有一定影响。
　　值得一提的是，2017年为公司高新技术企业资格复审年。公司2017年企业所得税暂按25%预交。待今年公司高新技术企业资格复审获得通过，则2017年公司还将继续享受高新技术企业的税收优惠政策，按15%的税率缴纳企业所得税。公司于2011年被认定为高新技术企业。2014年通过高新技术企业资格复审，公司自2014年至2016年连续三年享受国家关于高新技术企业的税收优惠政策，按15%的税率缴纳企业所得税。
　　分析指出，公司正在进行第四次转型升级，即军民融合，并取得了快速发展。现已成为后勤军工产品检测试验机构，国防实验室，二级保密单位。预计2017年将有较好的发展趋势，和去年比收入将有一定程度的增长。在传统的输变电领域，公司承接了来自国家电网、南方电网，全国各电力公司的抽样检测任务。
　　目前在做的江苏省电力公司的500kV串联变压器的试验，全国只有电科院一家具备相应检验能力和条件；并且承接国家的任务，在国际上的影响也会比较大。现在国家比较关心的交流电改直流电，对公司来说也是一个福音。另外从2007年至今，电科院发展新能源业务，经过八九年的逐步沉淀，已具备蓄电池、充电桩、核电等检验能力。",媒体新闻,2802852176202954053_0_584796,电科院：上半年业绩预增231%-260%,电科院,1
"　　中国储能网讯：6月23日上午，中国化学（601117）与物理电源行业协会储能应用分会组织的储能产业巡回调研团来到华电电力科学研究院（下简称“华电电科院（300215）”），调研团队首先参观了华电电科院国家能源分布式能源技术研发中心实验平台，之后分布式能源技术部主任周宇昊、阮炯明教授、俞铁铭经理等对华电电科院及国家能源分布式能源技术研发中心基本情况、发展历程与科研进展进行了详细介绍。
　　据介绍，华电电科院始建于1956年10月，是中国华电集团公司直属的科研机构，主要从事火力发电技术、水电及新能源发电技术、分布式能源技术、质量检验检测及咨询等专业，开展技术监督、技术服务和技术研究工作，是中国华电集团公司和电力行业发电技术研究及技术创新的领先的科研机构。
<IMAGE SRC=""http://e.thsi.cn/img/fc8166d70d62d25d"" >
　　
　　华电电科院拥有国家能源分布式能源技术研发（实验）中心、国家能源火力发电系统能效检测技术研发中心、国资委电力节能技术科研及试验基地、浙江省蓄能和建筑节能重点实验室，以及中国华电集团公司动力技术中心、水电技术中心、新能源技术中心、环保监督技术中心和煤炭质检计量中心等服务华电集团及电力行业的先进科研平台集群。
　　周宇昊表示，分布式能源技术部依托“国家能源分布式能源技术研发（实验）中心”，致力于构建全面、高层次的分布式供能系统的技术研发体系，建成具有国内领先水平的分布式能源系统集成及性能测试评估体系，形成科学、高效技术研发与转化体系和完整的技术创新价值链，为分布式能源产业发展提供标准、技术、示范、人才支撑，引领产业技术创新和可持续发展。
　　周宇昊指出，分布式能源技术部目前的主要任务包括了对分布式能源关键技术的攻关和设备研制及试验研究，引进技术的消化、吸收、再创新和国际合作，系统集成和测试方法研究、标准体系研究，以及分布式微网技术研究等。
　　在主要研究方向上，分布式能源技术部也做了详细布局，包括分布式能源战略规划、发展政策及标准体系研究；分布式能源负荷测量/预测/分析技术研究；分布式能源系统检测及评价评估技术研究；分布式能源系统“一站一策”运行技术研究；多能源互补系统集成及优化技术研究；基于分布式能源的储能技术、微能源网技术研究等。
　　“我们研发中心二期建设内容包括了分布式能源智能控制系统研究测试平台、研发中心高性能数据计算中心、光气互补分布式能源试验研究平台。研发中心三期建设内容包括建设分布式光伏能源检测、评估、认证系统，燃气分布式能源检测、评估、认证系统等。”周宇昊表示。
<IMAGE SRC=""http://e.thsi.cn/img/dcb8ca929434941d"" >
　　
　　作为分布式能源领域唯一的国家级研发平台，华电电科院打造了具有自主知识产权的天然气和可再生能源互补的分布式能源系统技术研发和成果转化应用体系。引以为豪的是具有自主知识产权的“多能互补分布式能源微网系统集成及测试实验平台”已经达到国内领先、国际先进水平，为促进我国分布式供能技术发展提供了支持，具备一定的示范效果和应用推广价值。
　　周宇昊表示，“华电电科院将以多能互补示范项目的微网系统作为试点，进行实验实证研究，将来在城市里推广类似模式的微网系统，通过各子微网之间的能量流动，信息流动，最终实现城市甚至更广区域的能源互联网。”
　　分布式能源技术部首席科学家阮炯明教授表示，多能互补示范项目是能源梯级利用和可再生能源综合利用设施，实现可再生能源利用的最大化和系统与投资的最优化的能源系统。从能源利用的角度的来看，多能互补分布式能源系统可分为四大模块：天然气利用模块、太阳能（000591）利用模块、冰蓄冷及地源热泵模块、蓄能模块。
　　其中，天然气利用模块包含内燃机单元、燃气轮机单元、燃料电池；太阳能利用模块包含光伏发电单元、太阳能蝶式斯特林发电单元；冰蓄冷及地源热泵模块包含冰蓄冷中央空调、地源热泵单元；蓄能模块包括电池储能单元、烟气蓄热单元、移动蓄热车等。
　　而对实验平台的发展目标，阮炯明教授做了进一步阐述。他认为要逐步建设分布式功能的技术研发体系；分布式功能动力、余热利用、系统集成、微网和电网接入等；要建成具有国内领先水平的分布式能源系统测试体系；要建立技术研发与转化体系，构建完整的技术创新价值链；要为分布式能源产业发展提供技术、师范、标准、人才等方面的支撑。
　　本次交流中，在谈及储能的商业价值问题时，中国科学院电工所储能课题组组长陈永翀教授提出观点：“华电电科院在分布式能源领域研究上下了真功夫、大力气，也取得了一系列成绩。如何把科研成果转为市场推广价值，要进一步研究分布式能源与储能技术应用的附加值。”
　　俞铁铭认为：“要根据外部边界条件和产业政策，结合负荷特点，分布式电源和运行策略进行详细的经济性分析，才能提出有效运行方案，安装合理容量的备用机组和储能装置。”
　　中国化学与物理电源行业协会储能应用分会秘书长刘勇则表示：“华电电科院在多能互补分布式能源系统、储能技术、微能源网系统等做了前瞻性布局，希望我们紧跟时代步伐，充分利用能源互联网、云平台等技术手段稳健推进系统化研究。在目前的市场环境下，虽然推动储能技术应用的商业化模式有一定的难度，但做好相应的技术储备与示范应用显得尤为关键。”
<IMAGE SRC=""http://e.thsi.cn/img/8770727b92611f60"" >
　　
　　“2017年度中国储能产业巡回走访调研”活动于6月中旬正式拉开帷幕。本次活动由中国化学与物理电源行业协会储能应用分会牵头并组织，上海电气（601727）集团中央研究院、天能电池集团有限公司、上海中兴派能能源科技股份有限公司、中远海运租赁有限公司、TV南德意志集团等企业大力支持。活动期间，调研团将在北京、天津、河北、山东、安徽、上海、江苏、湖南、浙江、福建、广东等10余省市开展深入调研，近距离了解企业需求，促进产业协同发展。
　　更多关于巡回调研的详细内容，请关注中国储能网的后续报道。",媒体新闻,8385017894154816489_0_39535,全国储能产业巡回调研团走进华电电科院,电科院,1
"　　日前，据国网山东省电力公司消息，国网山东电科院（300215）在自己办公院区内建设的省内首个“新能源分布式发电及微电网实验(示范)工程”已经自发电21万度，实现了“节能有我，绿色共享”。
　　国网山东电科院院区微电网工程是由风力发电、光伏发电、混合储能系统、交直流电动汽车充电桩和配用电设备组成，形成风、光、储、辅为一体的多能互补微电网工程。工程运行可按照系统需求主动地调整各分布式电源的接线方式，实现并网/孤网不同模式运行，并可开展各分布式电源协同优化控制策略的研究，是集发电、科研、示范于一体的智能微电网工程。
　　该微电网工程建设一方面在功能上为院区提供绿色、清洁、稳定的电能,另一方面服务于智能电网科技创新、应用研究及技术升级，将打造可再生能源发电及微电网领域内科技研发、试验检测和技术培训于一体的综合实验室，也为分布式电源工程设计、运行维护、运营管理、投资收益、电价政策等问题的研究提供了完善的工程科研基地。",媒体新闻,10408940410445987324_0_39535,国网山东电科院微电网工程已自发电21万度,电科院,1
"摘要
【电科院股东未来六个月内计划减持不超过600万股公司股票】电科院(300215)6月20日晚间发布公告称，持有公司股份 190,250,000 股(占本公司总股本 758,322,487 股比例 25.09%)的持股5%以上的股东中国检验认证集团测试技术有限公司计划自本公告发布之日起十五个交易日后的六个月内以集中竞价交易或大宗交易减持公司股份不超过 600 万股(占公司总股本比例的 0.79%).（中国证券报）
　　电科院(300215)6月20日晚间发布公告称，持有公司股份 190,250,000 股(占本公司总股本 758,322,487 股比例 25.09%)的持股5%以上的股东中国检验认证集团测试技术有限公司计划自本公告发布之日起十五个交易日后的六个月内以集中竞价交易或大宗交易减持公司股份不超过 600 万股(占公司总股本比例的 0.79%).
(责任编辑：DF314)",媒体新闻,6418834048646317309_0_60297,电科院股东未来六个月内计划减持不超过600万股公司股票,电科院,1
"　　中国证券网讯（记者 尚海）电科院(行情300215,诊股)20日晚间公告，公司股东中国检验认证集团测试技术有限公司（以下简称“中检测试”）计划自本公告发布之日起十五个交易日后的六个月内以集中竞价交易或大宗交易减持公司股份不超过600万股（占公司总股本比例的 0.79%）。
　　公司表示，中检测试不属于公司控股股东、实际控制人，本次减持计划的实施不会导致上市公司控制权发生变更，不会对公司治理结构及持续性经营产生影响。",媒体新闻,8158127488593818267_0_439912,电科院股东拟减持600万股公司股份,电科院,1
