keywords,sentence,article_no,source,title or content
现代投资,　　作为湖南交通运输系统内唯一上市公司，现代投资(行情000900，诊股)副总经理与前任董事长先后被查，或涉长沙现代凯莱大酒店项目,0,媒体新闻,c,1
现代投资,　　《财经》记者 鲁伟/文 李恩树/编辑　　8月1日，现代投资股份有限公司（下称现代投资，000900.SZ）在投资者互动平台确认，公司副总经理张宁正在接受相关部门调查,0,媒体新闻,c,1
现代投资,稍早之前的7月5日，现代投资前董事长宋伟杰涉嫌严重违纪被查,0,媒体新闻,c,1
现代投资,　　现代投资主营高速公路的养护维修和收费经营业务，是湖南交通运输系统内唯一上市公司,0,媒体新闻,c,1
现代投资,长沙现代凯莱大酒店是由现代投资打造的五星级酒店，主体分为现代凯莱大酒店、101公馆、写字楼和凯莱商务酒店，该项目总投资7亿元，建设周期长达十年，迟至2014年才竣工,0,媒体新闻,c,1
现代投资,”　　1966年出生的宋伟杰，湖南桃源县人，曾任湖南省统计局农调队干部、省政府办公厅干部，2001年10月至2017年2月在现代投资任职，后调任湖南水运集团任职董事长,0,媒体新闻,c,1
现代投资,宋伟杰任职现代投资之前，是湖南一位时任副省长的秘书,0,媒体新闻,c,1
现代投资,受此影响，宋伟杰在担任现代投资董事长期间，屡次陷入被查传闻,0,媒体新闻,c,1
现代投资,现代投资前任总经理与董事会秘书还曾因子公司的一笔对外投资而被“协助调查”,0,媒体新闻,c,1
现代投资,　　《财经》记者通过公开信息发现，现代投资自1999年在深交所挂牌交易以来，在资本市场屡有违规之举，包括信息披露质量不合规、数十亿资金被大股东下属公司占用、子公司违规对外投资等,0,媒体新闻,c,1
现代投资,现代投资答复称：“谢谢您的建议,0,媒体新闻,c,1
现代投资,”　　8月1日，现代投资有关人士对《财经》记者表示，目前公司经营一切正常，对于宋伟杰的落马“无法回复”，而张宁的“调查情况还不清楚”,0,媒体新闻,c,1
现代投资,现代投资两任高管被查，湖南交通腐败窝案仍在发酵,0,媒体新闻,t,1
现代投资,现代投资：公司副总经理正在接受组织调查,1,媒体新闻,t,1
现代投资,　　e公司讯，现代投资（000900）今日在互动平台表示，公司副总经理张宁正在接受组织调查,2,媒体新闻,c,1
现代投资,现代投资：公司副总经理张宁正在接受组织调查,2,媒体新闻,t,1
现代投资,"<IMAGE SRC=""http://hqpick.eastmoney.com/k/0009002.png"" >　　据湖南省纪委消息，现代投资(000900)原董事长、现湖南省水运建设投资集团有限公司党委书记、董事长宋伟杰涉嫌严重违纪，目前正接受组织审查",3,媒体新闻,c,1
现代投资,曾任湖南省统计局农调队干部、省政府办公厅干部，2001年10月至2017年2月任现代投资党委副书记、董事长，2017年2月至今任湖南省水运建设投资集团有限公司党委书记、董事长,3,媒体新闻,c,1
现代投资,现代投资原董事长宋伟杰接受组织审查,3,媒体新闻,t,1
现代投资,其中，华夏银行、民生银行、南京银行、金地集团、北京银行、晨鸣纸业等个股最新动态市盈率均不足10倍，此外，现代投资、中泰化学、旗滨集团、荣盛发展、平煤股份、佛山照明、中国铁建、招商蛇口、荣盛石化、葛洲坝、特变电工等11只个股最新动态市盈率也在15倍以下，具备较高的估值安全边际,4,媒体新闻,c,1
现代投资,其中，华夏银行（600015）、民生银行（600016）、南京银行（601009）、金地集团（600383）、北京银行（601169）、晨鸣纸业（000488）等个股最新动态市盈率均不足10倍，此外，现代投资（000900）、中泰化学、旗滨集团（601636）、荣盛发展（002146）、平煤股份、佛山照明（000541）、中国铁建（601186）、招商蛇口（001979）、荣盛石化、葛洲坝（600,5,媒体新闻,c,1
现代投资,　　证券经营机构组织管理与战略发展研究包括了以权力制衡为核心的证券公司公司治理研究；现代投资（000900）银行的组织架构和实现路径研究；证券公司基于以客户为中心的组织管理研究；证券公司激励机制与组织绩效管理研究；证券行业人才发展组织体系研究；证券公司集团化管控研究；证券母子公司一体,6,媒体新闻,c,1
